Date,AQI
2017-01-01 00:00:00,345
2017-01-02 00:00:00,337
2017-01-03 00:00:00,331
2017-01-04 00:00:00,381
2017-01-05 00:00:00,321
2017-01-06 00:00:00,351
2017-01-07 00:00:00,278
2017-01-08 00:00:00,288
2017-01-09 00:00:00,308
2017-01-10 00:00:00,247
2017-01-11 00:00:00,280
2017-01-12 00:00:00,323
2017-01-13 00:00:00,326
2017-01-14 00:00:00,384
2017-01-15 00:00:00,326
2017-01-16 00:00:00,355
2017-01-17 00:00:00,245
2017-01-18 00:00:00,317
2017-01-19 00:00:00,300
2017-01-20 00:00:00,216
2017-01-21 00:00:00,286
2017-01-22 00:00:00,365
2017-01-23 00:00:00,309
2017-01-24 00:00:00,336
2017-01-25 00:00:00,366
2017-01-26 00:00:00,324
2017-01-27 00:00:00,118
2017-01-28 00:00:00,212
2017-01-29 00:00:00,211
2017-01-31 00:00:00,366
2017-02-01 00:00:00,273
2017-02-02 00:00:00,327
2017-02-03 00:00:00,314
2017-02-04 00:00:00,336
2017-02-05 00:00:00,260
2017-02-06 00:00:00,306
2017-02-07 00:00:00,148
2017-02-08 00:00:00,254
2017-02-09 00:00:00,268
2017-02-10 00:00:00,249
2017-02-11 00:00:00,239
2017-02-12 00:00:00,274
2017-02-13 00:00:00,279
2017-02-14 00:00:00,303
2017-02-15 00:00:00,294
2017-02-16 00:00:00,284
2017-02-17 00:00:00,294
2017-02-18 00:00:00,236
2017-02-19 00:00:00,237
2017-02-20 00:00:00,243
2017-02-21 00:00:00,254
2017-02-22 00:00:00,236
2017-02-23 00:00:00,182
2017-02-24 00:00:00,226
2017-02-25 00:00:00,208
2017-02-26 00:00:00,256
2017-02-27 00:00:00,226
2017-02-28 00:00:00,266
2017-03-01 00:00:00,290
2017-03-02 00:00:00,258
2017-03-03 00:00:00,141
2017-03-04 00:00:00,173
2017-03-05 00:00:00,200
2017-03-06 00:00:00,177
2017-03-07 00:00:00,197
2017-03-08 00:00:00,194
2017-03-10 00:00:00,90
2017-03-11 00:00:00,68
2017-03-12 00:00:00,104
2017-03-13 00:00:00,150
2017-03-14 00:00:00,123
2017-03-15 00:00:00,214
2017-03-16 00:00:00,207
2017-03-17 00:00:00,226
2017-03-18 00:00:00,185
2017-03-19 00:00:00,222
2017-03-20 00:00:00,241
2017-03-21 00:00:00,251
2017-03-22 00:00:00,242
2017-03-23 00:00:00,246
2017-03-24 00:00:00,244
2017-03-25 00:00:00,197
2017-03-26 00:00:00,177
2017-03-27 00:00:00,164
2017-03-28 00:00:00,218
2017-03-30 00:00:00,151
2017-03-31 00:00:00,176
2017-04-01 00:00:00,223
2017-04-02 00:00:00,177
2017-04-03 00:00:00,154
2017-04-04 00:00:00,165
2017-04-05 00:00:00,108
2017-04-06 00:00:00,109
2017-04-07 00:00:00,351
2017-04-08 00:00:00,269
2017-04-09 00:00:00,130
2017-04-10 00:00:00,144
2017-04-11 00:00:00,162
2017-04-12 00:00:00,201
2017-04-13 00:00:00,282
2017-04-14 00:00:00,290
2017-04-15 00:00:00,307
2017-04-16 00:00:00,291
2017-04-17 00:00:00,276
2017-04-18 00:00:00,307
2017-04-19 00:00:00,262
2017-04-20 00:00:00,221
2017-04-21 00:00:00,234
2017-04-22 00:00:00,244
2017-04-23 00:00:00,193
2017-04-24 00:00:00,164
2017-04-25 00:00:00,189
2017-04-26 00:00:00,153
2017-04-28 00:00:00,183
2017-04-29 00:00:00,190
2017-04-30 00:00:00,186
2017-05-01 00:00:00,158
2017-05-02 00:00:00,240
2017-05-03 00:00:00,297
2017-05-04 00:00:00,214
2017-05-05 00:00:00,332
2017-05-06 00:00:00,284
2017-05-07 00:00:00,293
2017-05-08 00:00:00,278
2017-05-09 00:00:00,259
2017-05-10 00:00:00,187
2017-05-11 00:00:00,218
2017-05-12 00:00:00,365
2017-05-13 00:00:00,316
2017-05-14 00:00:00,284
2017-05-15 00:00:00,248
2017-05-16 00:00:00,272
2017-05-17 00:00:00,183
2017-05-18 00:00:00,235
2017-05-19 00:00:00,239
2017-05-20 00:00:00,221
2017-05-21 00:00:00,339
2017-05-22 00:00:00,228
2017-05-23 00:00:00,222
2017-05-24 00:00:00,224
2017-05-25 00:00:00,196
2017-05-26 00:00:00,250
2017-05-27 00:00:00,197
2017-05-28 00:00:00,136
2017-05-29 00:00:00,130
2017-05-30 00:00:00,162
2017-05-31 00:00:00,126
2017-06-01 00:00:00,200
2017-06-02 00:00:00,220
2017-06-03 00:00:00,215
2017-06-04 00:00:00,237
2017-06-05 00:00:00,204
2017-06-06 00:00:00,204
2017-06-07 00:00:00,126
2017-06-08 00:00:00,103
2017-06-09 00:00:00,141
2017-06-10 00:00:00,177
2017-06-11 00:00:00,118
2017-06-12 00:00:00,125
2017-06-13 00:00:00,139
2017-06-14 00:00:00,182
2017-06-15 00:00:00,231
2017-06-16 00:00:00,154
2017-06-17 00:00:00,100
2017-06-18 00:00:00,117
2017-06-19 00:00:00,210
2017-06-20 00:00:00,89
2017-06-21 00:00:00,102
2017-06-22 00:00:00,124
2017-06-23 00:00:00,148
2017-06-24 00:00:00,159
2017-06-25 00:00:00,195
2017-06-26 00:00:00,160
2017-06-27 00:00:00,135
2017-06-28 00:00:00,102
2017-06-29 00:00:00,92
2017-06-30 00:00:00,76
2017-07-01 00:00:00,114
2017-07-02 00:00:00,102
2017-07-03 00:00:00,97
2017-07-07 00:00:00,108
2017-07-08 00:00:00,93
2017-07-09 00:00:00,148
2017-07-10 00:00:00,117
2017-07-11 00:00:00,93
2017-07-12 00:00:00,62
2017-07-13 00:00:00,71
2017-07-14 00:00:00,64
2017-07-15 00:00:00,79
2017-07-16 00:00:00,90
2017-07-17 00:00:00,95
2017-07-18 00:00:00,100
2017-07-19 00:00:00,106
2017-07-20 00:00:00,88
2017-07-21 00:00:00,69
2017-07-22 00:00:00,55
2017-07-23 00:00:00,71
2017-07-24 00:00:00,60
2017-07-25 00:00:00,68
2017-07-26 00:00:00,63
2017-07-27 00:00:00,75
2017-07-28 00:00:00,70
2017-07-29 00:00:00,96
2017-07-30 00:00:00,43
2017-07-31 00:00:00,48
2017-08-24 00:00:00,116
2017-08-25 00:00:00,141
2017-08-26 00:00:00,114
2017-08-27 00:00:00,104
2017-08-28 00:00:00,70
2017-08-29 00:00:00,68
2017-08-30 00:00:00,77
2017-08-31 00:00:00,92
2017-09-01 00:00:00,69
2017-09-02 00:00:00,65
2017-09-03 00:00:00,80
2017-09-04 00:00:00,106
2017-09-05 00:00:00,91
2017-09-06 00:00:00,86
2017-09-07 00:00:00,82
2017-09-08 00:00:00,152
2017-09-09 00:00:00,125
2017-09-10 00:00:00,154
2017-09-11 00:00:00,149
2017-09-12 00:00:00,118
2017-09-13 00:00:00,141
2017-09-14 00:00:00,191
2017-09-15 00:00:00,215
2017-09-16 00:00:00,137
2017-09-17 00:00:00,126
2017-09-18 00:00:00,124
2017-09-19 00:00:00,152
2017-09-20 00:00:00,174
2017-09-21 00:00:00,175
2017-09-22 00:00:00,67
2017-09-23 00:00:00,59
2017-09-24 00:00:00,105
2017-09-25 00:00:00,143
2017-09-26 00:00:00,177
2017-09-27 00:00:00,206
2017-09-28 00:00:00,205
2017-09-29 00:00:00,208
2017-09-30 00:00:00,192
2017-10-01 00:00:00,170
2017-10-02 00:00:00,144
2017-10-03 00:00:00,159
2017-10-04 00:00:00,220
2017-10-05 00:00:00,254
2017-10-06 00:00:00,187
2017-10-08 00:00:00,234
2017-10-09 00:00:00,268
2017-10-10 00:00:00,238
2017-10-11 00:00:00,252
2017-10-12 00:00:00,273
2017-10-13 00:00:00,262
2017-10-15 00:00:00,272
2017-10-16 00:00:00,274
2017-10-17 00:00:00,316
2017-10-18 00:00:00,286
2017-10-19 00:00:00,293
2017-10-20 00:00:00,357
2017-10-21 00:00:00,396
2017-10-22 00:00:00,311
2017-10-23 00:00:00,287
2017-10-24 00:00:00,294
2017-10-25 00:00:00,352
2017-10-26 00:00:00,324
2017-10-27 00:00:00,332
2017-10-28 00:00:00,347
2017-10-29 00:00:00,336
2017-10-30 00:00:00,328
2017-10-31 00:00:00,335
2017-11-01 00:00:00,354
2017-11-02 00:00:00,285
2017-11-03 00:00:00,327
2017-11-04 00:00:00,357
2017-11-05 00:00:00,363
2017-11-06 00:00:00,356
2017-11-07 00:00:00,449
2017-11-08 00:00:00,487
2017-11-09 00:00:00,487
2017-11-10 00:00:00,470
2017-11-11 00:00:00,431
2017-11-12 00:00:00,491
2017-11-13 00:00:00,465
2017-11-14 00:00:00,384
2017-11-15 00:00:00,354
2017-11-16 00:00:00,363
2017-11-17 00:00:00,307
2017-11-18 00:00:00,299
2017-11-19 00:00:00,291
2017-11-20 00:00:00,325
2017-11-21 00:00:00,325
2017-11-22 00:00:00,328
2017-11-23 00:00:00,316
2017-11-24 00:00:00,335
2017-11-25 00:00:00,337
2017-11-26 00:00:00,361
2017-11-27 00:00:00,365
